t_test_p,corr,corr_p,diff,effsize,magnitude,t_signif,corr_signif,model,gender_direction,max_tokens
0.337,0.696652781572175,5.86561024432579e-31,-0.0151495276547386,-0.0674229561130481,negligible, ,***,t5,mf,100
0.338,0.766008273712894,1.25465264404604e-40,0.00916983832130719,0.0672349162954101,negligible, ,***,bart,mf,100
0.338,0.766008273712894,1.25465264404604e-40,0.00916983832130719,0.0672349162954101,negligible, ,***,bart,mf,150
0.338,0.766008273712894,1.25465264404604e-40,0.00916983832130719,0.0672349162954101,negligible, ,***,bart,mf,300
0.338,0.766008273712894,1.25465264404604e-40,0.00916983832130719,0.0672349162954101,negligible, ,***,bart,mf,None
0.389,0.691530903749785,1.16488957284023e-20,0.00830947842981092,0.0740777592201121,negligible, ,***,llama3,fm,150
0.407,0.761517125021146,6.65685680626499e-40,0.00795837688151961,0.0581621857999884,negligible, ,***,bart,mf,75
0.413,0.510214144846093,2.22421009591064e-10,-0.0122792538320956,-0.0703512537114628,negligible, ,***,llama3,fm,100
0.428,0.728599818720381,8.90672286603834e-24,0.0065801177221201,0.0682096634338543,negligible, ,***,llama3,fm,300
0.432,0.618364404452146,6.56678850986161e-23,-0.0143250662565768,-0.0550803179353992,negligible, ,***,llama3,mf,50
0.507,0.578295228755454,1.6728967297985e-13,-0.0120810479077206,-0.057069925123678,negligible, ,***,t5,fm,None
0.55,0.603147246483473,7.81851271676845e-15,-0.0111681736147059,-0.0513790021693203,negligible, ,***,t5,fm,100
0.589,0.488005944271365,1.67776731903718e-09,0.00614639965600023,0.0464197712938107,negligible, ,***,llama3,fm,None
0.682,0.524272765872048,5.72995441767274e-11,0.00289468632664972,0.035217938302426,negligible, ,***,chatgpt,fm,None
0.713,0.362943881751587,9.5511022995034e-08,-0.00258905829990375,-0.02582144152432,negligible, ,***,chatgpt,mf,None
0.728,0.552094238709989,3.23278389474761e-12,-0.00828124042058824,-0.0299197994136064,negligible, ,***,llama3,fm,50
0.764,0.48703057555771,1.82747882058028e-09,0.00456554459546569,0.0258389204599764,negligible, ,***,chatgpt,fm,100
0.839,0.805950862128135,2.62388528018766e-32,0.00254127629834558,0.0174926462128324,negligible, ,***,bart,fm,50
0.864,0.630288133763424,2.00391461487552e-16,-0.00288248725058823,-0.0146645235633744,negligible, ,***,llama3,fm,75
0.867,0.666644879493502,1.38669372265834e-27,0.00251933082867647,0.011734549034159,negligible, ,***,t5,mf,50
0.893,0.544792780773469,3.65262769350474e-17,-0.000981478211204091,-0.00938577555762982,negligible, ,***,chatgpt,mf,150
0.929,0.462316616006335,1.46097788568261e-08,0.00178825613281863,0.00761560846543723,negligible, ,***,chatgpt,fm,75
0.969,0.994791103062924,2.70355087056097e-202,-1.72350075495626e-05,-0.00269015418232656,negligible, ,***,gemma,mf,75
0.969,0.994791103062924,2.70355087056097e-202,-1.72350075495626e-05,-0.00269015418232656,negligible, ,***,llama3,mf,75
0.969,0.994791103062924,2.70355087056097e-202,-1.72350075495626e-05,-0.00269015418232656,negligible, ,***,gemma,mf,100
0.969,0.994791103062924,2.70355087056097e-202,-1.72350075495626e-05,-0.00269015418232656,negligible, ,***,llama3,mf,100
0.969,0.994791103062924,2.70355087056097e-202,-1.72350075495626e-05,-0.00269015418232656,negligible, ,***,gemma,mf,150
0.969,0.994791103062924,2.70355087056097e-202,-1.72350075495626e-05,-0.00269015418232656,negligible, ,***,llama3,mf,150
0.969,0.994791103062924,2.70355087056097e-202,-1.72350075495626e-05,-0.00269015418232656,negligible, ,***,gemma,mf,300
0.969,0.994791103062924,2.70355087056097e-202,-1.72350075495626e-05,-0.00269015418232656,negligible, ,***,llama3,mf,300
0.969,0.994791103062924,2.70355087056097e-202,-1.72350075495626e-05,-0.00269015418232656,negligible, ,***,llama3,mf,None
0.983,0.655803112241857,1.84737560515909e-26,0.000338397415522874,0.00151515624461558,negligible, ,***,t5,mf,150
