doc_num,positive,other,neutral,negative
0,0.7059509754180908,0.16177645574013388,0.08693852151433623,0.04533404111862177
1,0.6940726041793823,0.2338993626957138,0.05579971553136903,0.0162283399452765
2,0.6224819868803024,0.1463871300220489,0.13492696080356836,0.09620392438955605
3,0.720275859038035,0.14936586841940871,0.0876966925958792,0.04266156194110707
4,0.6035753041505814,0.20316528901457784,0.1344930678606033,0.0587663426995277
5,0.6401475369930267,0.2023999541997909,0.1102985888719558,0.0471539199352264
6,0.6035753041505814,0.20316528901457784,0.1344930678606033,0.0587663426995277
7,0.657695472240448,0.21031026542186732,0.09423508495092385,0.0377591792494058
8,0.8146175344785055,0.09979770456751184,0.05962395140280324,0.025960779438416137
9,0.6275255580743154,0.21416807671387986,0.13554932797948518,0.022757056790093533
10,0.6347594757874807,0.19498275096217788,0.12617341056466097,0.044084419806798274
11,0.45175929367542267,0.29688698053359985,0.1742104515433311,0.07714332081377501
12,0.5751994550228119,0.23470198363065714,0.13278741575777525,0.0573111632838845
13,0.5188376108805338,0.2501863191525141,0.17493421460191405,0.056041882683833366
14,0.575555756688118,0.22217015177011484,0.1188394576311111,0.08343459013849494
15,0.5865080853303274,0.24127438664436338,0.12818761418263114,0.044029896457989964
16,0.7190476655960083,0.1488845627754926,0.1024265913292765,0.0296412017196416
17,0.595491573214531,0.24745576828718185,0.11552509851753705,0.04152756277471775
18,0.5992321968078613,0.18934250622987744,0.14808321371674535,0.06334213539957995
19,0.5047952036062876,0.23849336802959442,0.18912072603901228,0.06759070480863251
20,0.6797074774901072,0.16963112602631245,0.10394568244616187,0.04671573437129453
21,0.6580906659364699,0.16549973376095295,0.12284243572503326,0.05356715735979375
22,0.6679153293371201,0.21611817553639406,0.08074694732204075,0.0352195531595498
23,0.6669110953807831,0.1569048762321472,0.12783811241388315,0.04834592342376705
24,0.5047952036062876,0.23849336802959442,0.18912072603901228,0.06759070480863251
25,0.374108225107193,0.3227545917034149,0.2171648144721985,0.0859724059700965
26,0.6368668675422668,0.19646757841110224,0.12192260473966594,0.0447429679334163
27,0.49778635303179425,0.2426479210456212,0.19084737325708068,0.06871836384137467
28,0.6779760221640269,0.16899051268895462,0.10537908412516113,0.04765437326083577
29,0.6798923909664154,0.16951370984315872,0.10392175164694584,0.0466721601163347
30,0.5415991097688675,0.2847362086176872,0.1311757378280162,0.04248897358775135
31,0.5047952036062876,0.23849336802959442,0.18912072603901228,0.06759070480863251
32,0.6668846408526102,0.18540665507316587,0.09951016989847018,0.048198535417517
33,0.5232342481613159,0.2188737839460373,0.20001047849655146,0.05788148194551465
34,0.6798923909664154,0.16951370984315872,0.10392175164694584,0.0466721601163347
35,0.5833755880594254,0.2168776169419288,0.13795401528477666,0.06179281696677205
36,0.5232342481613159,0.2188737839460373,0.20001047849655146,0.05788148194551465
37,0.6004311442375183,0.19254970550537107,0.13351527849833167,0.07350383698940273
38,0.4643741101026535,0.28708896040916443,0.1871939599514007,0.061342954635620096
39,0.5526398122310638,0.24265491217374796,0.1391496695578098,0.06555560976266855
40,0.682918498913447,0.1664500261346499,0.1041109335298339,0.04652054281905286
41,0.5194949805736542,0.21854973584413523,0.2043472900986671,0.05760803446173665
42,0.6176929275194804,0.19849923190971216,0.14068386486421028,0.0431239985240002
43,0.6075945099194844,0.2051513294378916,0.14998643612489104,0.037267704339077036
44,0.6597240964571635,0.19819433987140653,0.1075866104414065,0.03449494329591587
45,0.4740888178348541,0.24891856809457139,0.164811094601949,0.11218148718277605
46,0.5961708625157675,0.23933288951714835,0.14340665812293688,0.0210895769608517
47,0.5792211989561716,0.2504618416229883,0.118884265422821,0.051432725042104666
48,0.5349529087543488,0.2328811759750048,0.1495743772635857,0.08259151938060917
49,0.5938803106546402,0.1876697093248367,0.15020455885678524,0.06824542488902804
50,0.6623653570810953,0.19210476924975708,0.09971820190548893,0.04581170847328997
