doc_num,positive,other,neutral,negative
0,0.7054985165596008,0.18957142035166422,0.0790126907328764,0.025917361800869232
1,0.6346160074075062,0.21757997851818797,0.09922727849334473,0.048576700345923464
2,0.6876270572344462,0.15456180026133853,0.10309781537701683,0.054713334267338064
3,0.6128914654254913,0.2511602242787679,0.0748327809075514,0.06111553187171614
4,0.635622501373291,0.19328884283701578,0.12612675130367274,0.044961872821052795
5,0.5229195952415466,0.26198728879292804,0.15897658963998154,0.05611651018261903
6,0.635622501373291,0.19328884283701578,0.12612675130367274,0.044961872821052795
7,0.5250696043173472,0.2643435100714365,0.15617388983567548,0.0544129995008309
8,0.5776921610037485,0.21112207447489095,0.13426643703132865,0.0769192992399136
9,0.5847267607847849,0.23373951017856595,0.1398771243790785,0.041656633528570304
10,0.52019335826238,0.2415649195512136,0.18016943832238508,0.0580723149081071
11,0.6201702505350113,0.19368453510105604,0.1137471199035644,0.07239808980375526
12,0.5946120023727417,0.211754135787487,0.12325146421790119,0.07038235540191327
13,0.6303307414054871,0.19464468459288273,0.12526238088806466,0.0497622112743556
14,0.5447552601496378,0.25610051055749256,0.11807547012964881,0.08106874239941436
15,0.6574442585309347,0.1821609946588675,0.10780610640843707,0.0525886472314596
16,0.5761553247769674,0.22785599157214165,0.1263484756151835,0.06964019748071826
17,0.47663212815920514,0.25925955673058826,0.19942799210548398,0.06468032424648597
18,0.3926790654659271,0.2793915122747421,0.2255734503269195,0.10235596820712085
19,0.764506975809733,0.14535958319902417,0.07410528014103566,0.01602811925113193
20,0.6272557477156321,0.2164704427123069,0.12422117342551543,0.03205266641452904
21,0.6057905952135721,0.20869202415148413,0.14233820388714472,0.04317917705823973
22,0.7958302696545919,0.09786005939046533,0.07543184701353307,0.0308777826527754
23,0.7453601658344269,0.12680616602301595,0.0988075141794979,0.02902617491781705
24,0.764506975809733,0.14535958319902417,0.07410528014103566,0.01602811925113193
25,0.612265427907308,0.22423372169335679,0.12289944291114803,0.040601398795843104
26,0.5042109787464142,0.26334723085165024,0.18231861293315882,0.05012315884232515
27,0.7648786703745524,0.14508134871721265,0.0740488084654013,0.015991161887844333
28,0.6255242923895518,0.2158298293749491,0.1256545751045147,0.03299130530407027
29,0.6274406611919403,0.2163530265291532,0.1241972426262994,0.0320090921595692
30,0.6262957255045573,0.18257859349250785,0.14398426314194998,0.047141413514812734
31,0.764506975809733,0.14535958319902417,0.07410528014103566,0.01602811925113193
32,0.46098650495211285,0.31467153628667194,0.16965174674987785,0.0546902331213156
33,0.45876113573710126,0.29232062399387354,0.20015638073285416,0.0487618818879127
34,0.6274406611919403,0.2163530265291532,0.1241972426262994,0.0320090921595692
35,0.38845329483350116,0.2804132004578908,0.24773677190144852,0.08339677006006237
36,0.45876113573710126,0.29232062399387354,0.20015638073285416,0.0487618818879127
37,0.5996021727720896,0.17760994782050452,0.1457842662930488,0.0770036006967226
38,0.6160606443881989,0.20435603708028788,0.12477717734873289,0.054806143045425346
39,0.4512408673763275,0.3258749941984812,0.17192394534746802,0.050960231572389526
40,0.6304667691389719,0.21328934282064438,0.12438642450918747,0.03185747486228737
41,0.46522951126098633,0.2890264441569646,0.1982215543588002,0.04752249767382933
42,0.5819401939709982,0.21236817042032877,0.13935008893410358,0.06634151066342986
43,0.47356534004211426,0.261238952477773,0.20049244413773212,0.06470324223240213
44,0.6111960113048553,0.22020921607812238,0.11655757824579871,0.05203723317633067
