doc_num,positive,other,neutral,negative
0,0.5039516190687815,0.3338043491045634,0.10813232511281963,0.054111686845620434
1,0.6319085856278738,0.20825336997707677,0.10714891801277789,0.05268914345651857
2,0.6675102313359579,0.16950967907905576,0.10582352553804714,0.05715657584369176
3,0.5426788330078125,0.2308876812458038,0.14892859570682043,0.0775049005945523
4,0.44961750507354736,0.27813320358594257,0.17932414015134177,0.09292516609032943
5,0.4990227719148,0.2407142619291941,0.1756546447674433,0.08460832883914306
6,0.44961750507354736,0.27813320358594257,0.17932414015134177,0.09292516609032943
7,0.4990227719148,0.2407142619291941,0.1756546447674433,0.08460832883914306
8,0.6803124248981476,0.22998755052685735,0.07289451640099283,0.01680551810810957
9,0.6014665265878042,0.19289313380916906,0.15336896292865274,0.05227135731062533
10,0.5983389814694723,0.21029261747996011,0.1321363920966784,0.0592320077121257
11,0.45024585723876953,0.24203882118066147,0.19595274329185483,0.11176259567340213
12,0.5312200586001078,0.2463040004173914,0.16444023946921027,0.0580356611559788
13,0.5610495805740356,0.24270134667555487,0.14356543123722074,0.052683641513188634
14,0.44439516464869183,0.28094203273455304,0.16375144074360526,0.11091135069727892
15,0.568210780620575,0.21006765464941657,0.13831449051698047,0.08340711270769434
16,0.49229803681373596,0.2843926548957824,0.16570392002662018,0.057605359703302335
17,0.4985353449980418,0.2763348619143168,0.16664456824461615,0.05848521925508973
18,0.5978545645872752,0.2205053865909576,0.14502458088099954,0.036615460490186935
19,0.5610495805740356,0.24270134667555487,0.14356543123722074,0.052683641513188634
20,0.4603412051995595,0.2720973491668701,0.15782266606887177,0.10973879943291341
21,0.5642965932687124,0.23073329776525497,0.12428392221530277,0.08068619326998783
22,0.6511692106723785,0.18661021937926606,0.10428375005722045,0.05793678636352217
23,0.5295451879501343,0.24964990715185797,0.1606103194256623,0.06019461030761397
24,0.5610495805740356,0.24270134667555487,0.14356543123722074,0.052683641513188634
25,0.5275929570198059,0.2440678377946218,0.15752681593100226,0.07081238180398934
26,0.6452778950333595,0.1655100407078862,0.13904211111366743,0.050169997150078374
27,0.5684106548627218,0.22890460987885788,0.12946425378322596,0.07322049389282857
28,0.4603412051995595,0.2720973491668701,0.15782266606887177,0.10973879943291341
29,0.4603412051995595,0.2720973491668701,0.15782266606887177,0.10973879943291341
30,0.5726970930894216,0.24960800260305405,0.11546736831466353,0.062227495014667435
31,0.5610495805740356,0.24270134667555487,0.14356543123722074,0.052683641513188634
32,0.3651409447193146,0.31790746251742047,0.22029294073581693,0.09665865451097483
33,0.5295451879501343,0.24964990715185797,0.1606103194256623,0.06019461030761397
34,0.4603412051995595,0.2720973491668701,0.15782266606887177,0.10973879943291341
35,0.5559558471043905,0.2543020372589429,0.1167591996490955,0.07298287500937777
