doc_num,positive,other,neutral,negative
0,0.7157218853632609,0.18095569064219788,0.07909054930011426,0.0242318560679753
1,0.7033875286579132,0.14876261353492734,0.09229809542496997,0.0555517805429796
2,0.5683262149492899,0.21755917370319364,0.15878296891848243,0.05533165236314133
3,0.578950415054957,0.22789719204107917,0.1368508525192737,0.056301560252904864
4,0.6258983016014099,0.17773224413394928,0.15184391041596726,0.04452552956839397
5,0.5411602457364401,0.2858517616987228,0.1286103079716364,0.04437762747208274
6,0.6258983016014099,0.17773224413394928,0.15184391041596726,0.04452552956839397
7,0.6074275076389313,0.28609188646078104,0.0779846608638763,0.02849592361599205
8,0.4666963418324788,0.25265476107597346,0.19177983204523716,0.0888690619419018
9,0.6486043433348337,0.2515906617045402,0.07079758184651526,0.029007400075594564
10,0.4291830062866211,0.28892897566159564,0.17613234122594193,0.10575568924347555
11,0.5236598253250122,0.23265299201011658,0.16614588598410282,0.07754132213691867
12,0.5164670745531718,0.24182258297999695,0.16829558337728176,0.07341474170486127
13,0.7494008739789327,0.1622824743390083,0.07350806146860117,0.014808585867285666
14,0.681506872177124,0.1854672854145368,0.08891072372595467,0.04411507459978257
15,0.6779614984989166,0.18227655813097945,0.10237798094749447,0.03738393401727077
16,0.6765384475390116,0.17943232382337249,0.10520221292972563,0.03882697240139043
17,0.45186035831769306,0.26748930911223096,0.18998244404792783,0.09066785871982568
18,0.8377665579319,0.09877817705273625,0.052171685732901055,0.011283565778285251
19,0.675913025935491,0.18408285826444623,0.09196638067563369,0.0480377019072572
20,0.6272557477156321,0.2164704427123069,0.12422117342551543,0.03205266641452904
21,0.49755484859148663,0.2446567167838414,0.13229141384363172,0.12549700339635209
22,0.5788361132144928,0.211094024280707,0.14198567718267438,0.068084143102169
23,0.7131004532178243,0.17572524895270666,0.08496249994883931,0.026211810608704835
24,0.675913025935491,0.18408285826444623,0.09196638067563369,0.0480377019072572
25,0.5134399135907491,0.2714579453070958,0.13938867052396134,0.07571349044640853
26,0.7029899458090464,0.1402825725575288,0.1000122353434562,0.056715285715957436
27,0.675913025935491,0.18408285826444623,0.09196638067563369,0.0480377019072572
28,0.6255242923895518,0.2158298293749491,0.1256545751045147,0.03299130530407027
29,0.6274406611919403,0.2163530265291532,0.1241972426262994,0.0320090921595692
30,0.7489252289136251,0.1228327304124832,0.08689328779776888,0.04134873518099386
31,0.675913025935491,0.18408285826444623,0.09196638067563369,0.0480377019072572
32,0.47851113478342694,0.28696154554684955,0.16580816606680548,0.06871918216347693
33,0.56471519668897,0.23953678210576368,0.15439601242542267,0.04135200971116617
34,0.6274406611919403,0.2163530265291532,0.1241972426262994,0.0320090921595692
35,0.5680238405863444,0.21868603676557538,0.14321752637624738,0.07007255901892977
36,0.56471519668897,0.23953678210576368,0.15439601242542267,0.04135200971116617
37,0.5864667296409607,0.25071215629577637,0.1020184581478436,0.06080263728896773
38,0.6023362874984741,0.1912755618492762,0.13315766242643193,0.07323049940168853
39,0.5678429504235586,0.21883697559436158,0.14321906119585034,0.07010102023681003
40,0.6304667691389719,0.21328934282064438,0.12438642450918747,0.03185747486228737
41,0.571183572212855,0.23624260226885474,0.15246118605136869,0.0401126254970828
42,0.43980566660563153,0.2748982608318329,0.21058136224746704,0.07471470907330509
43,0.4635598063468933,0.3029080430666606,0.17794552197058988,0.05558660129706059
44,0.6118785341580709,0.17231183250745133,0.12801969796419135,0.0877898993591467
45,0.6290015131235123,0.2155494093894958,0.10588119365274905,0.049567872658371856
46,0.6380532284577688,0.25239791224400193,0.08656012887756026,0.022988769070555703
47,0.5664948721726736,0.2431161801020304,0.12735312680403385,0.06303581719597173
48,0.7805064717928568,0.13289922972520188,0.0632048944632212,0.023389374526838435
49,0.43207473556200665,0.28272868692874903,0.18685668458541227,0.09833989913264907
50,0.6358113586902618,0.18056885401407874,0.12214250583201643,0.06147728937988473
51,0.7003549337387085,0.1568821507195631,0.08789598662406202,0.05486687583227947
52,0.5388849973678589,0.28090389072895044,0.1339188329875469,0.0462922637040416
53,0.6833426256974539,0.14773574968179062,0.11375677958130832,0.055164843797683695
54,0.5265436867872874,0.29552804927031195,0.122842530409495,0.055085738499959236
55,0.602325956026713,0.24734893441200248,0.10229012137278909,0.04803498415276403
56,0.467935969432195,0.27596356968084973,0.16775781909624732,0.08834264799952503
